ID;PTOT
84;8120668
27;2885864
53;3407564
24;2634852
94;340233
44;5657093
1;396153
3;271124
32;6096177
11;12291279
4;863063
2;377711
28;3403309
75;6094367
76;5968795
52;3846161
93;5106679
